"Movie_Title","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Godzilla: King of the Monsters","JoeYabuki","5 June 2019","Great and Amazing battles/fights among giant monsters, epic and spectacular ones, what everybody was waiting for, if you want to enjoy good monsters and CGI this is you movie, go watch it on the best screen 8.5/10... But the plot is weak, people are stupid and make meaningless decisions. People's behavior is absurd, with a lot of boring drama that nobody cares, in addition the actors who are supposed to be the main ones have no time on screen. A Total disappointment.","
            6/10
            "
"Godzilla: King of the Monsters","imrigu","2 July 2020","Godzilla!! Oh lord, i can only think of what this film could've done with a great plot. It could be one of the most memorable and exciting moments of film addicts but sadly it was a horrible experience.What a dumb plot, i only continued to watch because of Godzilla and other monsters. Every other human being is dying and we're supposed to follow a selfish woman who tried to destroy earth and her daughter who saved the earth. Wow what a plot! And and we're also supposed to feel sad for the sacrifice of evil woman why? cause she sacrificed herself. Dumbo!I'm not going to discuss the plot holes since everything about human makes little sense, but the back story of monsters is amazing.","
            5/10
            "
"Godzilla: King of the Monsters","OllieSuave-007","25 January 2021","This is the second Godzilla film in the MonsterVerse series, a story about the crypto-zoological agency Monarch finding themselves facing titan monsters Rodan, Mothra, and King Ghidorah, and their ultimate solution is letting Godzilla battle them all to save mankind.The film is a little reminiscing to Toho Studio's classic 1964 movie, Ghidorah, the Three-Headed Monster, but this time featuring the monsters in the 21st century, with some neat special effects. You get to see each of the monsters' unyielding powers and characteristics, and them battling each other is nothing short of edge-of-your-seat monster excitement. However, the CGI on the creatures were too dark at times, making the monster battles hard to see. It is also difficult to see the creatures' faces and reactions - just a whole lot of head-spinning movements and swift actions.The human drama was average at best, and the good guys vs. bad guys subplot was a major distraction from the film, I thought. Much of the evil doers' actions were overkill, and our protagonists were too preachy, save for Ziyi Zhang's duo doctor roles, which is a great nod to Mothra's tiny twin priestesses in the classic films. I also liked that the filmmakers incorporated Mothra's Song in this movie.But, as with much of today's films, there is forced comedy to lighten up the mood, courtesy of Bradley Whitford's St. Stanton character. His humor was extremely annoying and distracting, very out-of-place for the movie.With all the hard-to-see monster action to the distracting human drama, there is too much in the film to digest and makes it hard to appreciate the main point, which are clearly the monsters. It leaves little room to sympathize with the human characters and leaves you craving for more of the monsters.Grade D+","
            5/10
            "
"Godzilla: King of the Monsters","Mickdrew99","5 June 2019","Crazy review title right? Well you might agree after watching this movie.You'll probably hear a lot of opinions from people who aren't homegrown Godzilla fans - and they will have their own thoughts on this.
I, on the other hand, am a big fan of the monster going years back. Finding a Godzilla movie in the TV guide, or a DVD for one of the Toho movies to rent was like winning the lottery when my brother and I were young.Here are my thoughts plainly stated: Yes, this is a better Godzilla film than the 2014 movie. There are *aspects* of the latter that some might say make it superior, but that would only make it a better movie in general - as a *Godzilla movie* this new one is quite a bit better.Don't listen to the people on RottenTomatoes talking about how ""the special effects are overly relied on and can't make up for the bad characters and plot.""
No. Those CG monsters are the best part, and they almost singlehandedly save this movie. The solution is not to focus less on special effects and develop the characters better. The solution is to have every human character stepped on in the second act and have the last 45 min center the story solely on the monsters - which I guess would mostly be fighting.The problem is this does not happen. Every moment you see the monsters battle, you enter a brief moment of bliss before you are ripped away to deal with people you don't care about doing things you hope they fail at. The first ""clash"" occurs in Antarctica, and that scene was actually quite good despite the focus on the humans. You're just now being exposed to these titans duking it out, so having people there witnessing the madness and trying to escape help play into how incredible this event truly is.By the 3rd act, however, this tolerance has dried up. Correct me if I'm wrong, but doesn't a movie titled ""Godzilla"" imply that he is the main character? Because he doesn't feel like one. Without a doubt, THE biggest problem that Godzilla (2014) and this film have is they place waaayyyy too much value on human beings. Everyone in the audience is waiting for them to shut up and go away, but the movie has its head up its ass and thinks what they're doing is somehow important and worth focusing on. It would be like two warriors facing off, and having most of the climax focusing on ants running around on the ground trying to save each other.The only ""characters"" here that need development are the Kaijus. Have them be your stars. Have them be the focus. It doesn't just have to be mindless action like how snobby people will pretend that's all we want to see. Go ahead and tell a story, but NOT with people. They are not the reason we're watching this, and we don't care about them.One exception to what I said in the previous paragraph: Ken Watanabe
His big character moment was incredible. If you must have human beings involved, do them like this. He was amazing.","
            6/10
            "
"Godzilla: King of the Monsters","phd_travel","2 January 2020","Too much of the same thing. The story and characters were not well developed. Just climax after climax. Explosions and fights seemed repetitive. Vera Farmiga's character seemed too smart to be so dumb. And Zhang Ziyi didn't deliver her lines convincingly.Destruction of cities wasn't well done. Just seemed superficial and far away.Waste of lots of effects. Spending more money doesn't mean a better movie. Sometimes less is more. A simpler movie like the Korean monster movie The Host was so much more involving because you were invested in the characters and the creature wasn't too big.Don't bother.","
            3/10
            "
"Godzilla: King of the Monsters","Hitchcoc","31 May 2019","With all the films and the mastery of special effects, we take for granted that movie monsters are going to be quite remarkable. I enjoyed watching them, especially Ghidrah. But then we have this lame plot with a nutcase deciding it would be good for the earth if most of the people were eliminated and we started over. The female/mother character has bought into this and is about to send the world to oblivion. The acting is so bad and the actions of the characters ridiculous. Standing around while nuclear radiation is a few feet away. Or a monster is right in front of them. Leaving a submarine and standing on the tower while Godzilla appears, instead of staying submerged. And the search fo the daughter at Fenway Park. I have to give credit. It was certainly loud but like watching a Star Trek episode, I challenge anyone to really understand the science. I wish it had been a better, more gripping story. Finally, like so many movies of its type, the loss of life is beyond belief and people don't seem all that concerned about their brothers and sisters.","
            7/10
            "
"Godzilla: King of the Monsters","kbayless-1","5 June 2019","Ever since the perfection of CGI, Hollywood has come to the conclusion that if the special effects are good, then then movie is good. Thus, my 5 star rating. Half of the movie involved the monster battles and that gets 10 stars. The half of the movie where there is no monster presence gets 0. That averages out to a 5. Perhaps some day Hollywood will re-discover the lost art of screen writing and combine it with CGI to create a truly fantastic movie. But don't look for it to change soon. A lot of people came out of the theater visually dazzled by the special effects knowing that the story was awful but still thought it was a great movie. So they will continue make a lot of money creating these kind of movies and save on time & expense by not having to pay top dollar for a writer.","
            5/10
            "
"Godzilla: King of the Monsters","ericrnolan","23 August 2019","It's true what they say about ""Godzilla: King of the Monsters"" (2019) - its script is almost completely brainless. It's got about as much depth as the old ""G.I. Joe"" cartoon (1983-1986) that played after school when we were kids.But I'd be lying to you if I said I didn't enjoy this. And I'm sure you know why - the big-budget, big-MONSTER special effects. They were spectacular - and sometimes they approached being unexpectedly beautiful. (It's hard to explain here, but our eyes are treated to more than skyscraper-tall brawls between ""titans."" We get a light show too - thanks to some confusing, thinly scripted, but nonetheless dazzling energy-based monster powers. It was really damned good.)Add to this a generally excellent cast, and you might be able to forgive the screenplay for insulting your intelligence. I know that most people would name Ken Watanabe as the actor who truly classes up the joint. And there's plenty of truth to that, but I myself would name Charles Dance as the movie's biggest standout. The man's craft is goddam Shakespearean, and I think he's equal of the likes of Patrick Stewart or Ian McKellen. And I'd like to think that his throwaway line, ""Long live the King,"" was at least partly a fan-service reference to what I'm guessing is his best known role - Tywin Lannister on HBO's ""Game of Thrones"" (2011-2019).Based on my own enjoyment, I'd rate this movie an 8 out of 10 - with the caveat that I'm a kid at heart when it comes to giant monsters. If you're the same way, then ""Godzilla: King of the Monsters"" might just become a guilty pleasure that you return to more than once.","
            8/10
            "
"Godzilla: King of the Monsters","auuwws","25 January 2021","The movie was average, and the movie contains many great fighting scenes between the monsters in the movie. The human side in the movie was bad, unlike the monsters side, the CGI in the movie was excellent, and the monsters in the movie were great.","
            6/10
            "
"Godzilla: King of the Monsters","King_MG","29 May 2019","The whole dramatic family story wasn't able to catch me. It isn't annoying, but allways kind of irrelevant. Every scene including monsters on the other hand is stuning. In General the monster design, the CGI, the fights and the whole cinematography aswell are beyond beautiful. I recommand the movie because of those monster scenes. Everything what happens around that is more like a 3/10","
            6/10
            "
