"Movie_Title","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"The Beekeeper","DocteurDream","30 January 2024","Verona Parker is easily one of the worst characters ever written for the screen, takes away everything this movie aspires to be. The actress also did a piss poor job and always had me cringing at the unrealistic and unreasonable choices she makes. If you'd delete that character entirely, this movie would've been a whole lot better in the long run.Subject wise it's a very nice concept of a revenge thriller against scam call centers- but again, the whole govt mumbo jumbo makes it feel a whole run of the mill action BS from Hollywood mid tier movies. If the story had been awhole lot grounded, it would've done a whole lot better imo.","
            5/10
            "
"The Beekeeper","kjproulx","12 January 2024","By now, audiences should realize what they are in for when it comes to Jason Statham leading an action film. The Beekeeper is the latest film to continue his long-running legacy of action flicks and it's quite a bit of fun. It's very far from an awards nominee, but for a film I had zero expectations for, and for being as cheesy as it is, it's pretty good. Take that as you will because I will be diving into things that are also pretty bad as well. The cheesiness of this film will turn some people off, but I was able to ignore it. Here's why I recommend The Beekeeper if you want to watch a new action-packed film to enjoy and not have to think too much about.The ""Beekeepers"" is an organization of hitmen who take out criminals. Jason Statham plays Adam Clay, a retiree from this organization, who is on a manhunt for everyone involved in scamming a woman he cared for, which led to her suicide. It's as simple as that. There are multiple bosses in this company, so it's like watching a sophisticated video game being played out. The action sequences are well-choreographed and there are quite a few action scenes, so overall, this film was a blast to watch. With that said, the dialogue from beginning to end it pretty atrocious.If the script had been reworked, I think this could've been a surprisingly great film as a whole. Sadly, the dialogue is full of Bee puns that fall flat almost every time, even with solid actors delivering them. The character arc and dialogue for Josh Hutcherson's Derek Danforth (who is the main villain of the film) is laughable, and not really in a good way. His whiny, self-entitled performance was great and I liked that he was giving this character his all, it's just that, again, the dialogue sucks. The lines everyone was saying took me out of the experience many times. Still, there is a lot of great action, and that's what I wanted from a movie like this anyway. I'm sure the dialogue will have people hating this movie and I'm equally sure certain people will find it hilarious. I'm kind of in the middle.The Beekeeper is David Ayer's latest directorial effort and as always, he does a great job with action. His touch as a director is always welcomed by me and the neon look to the film was cool as well. It's a cool film to watch and it's aesthetically pleasing. I may be ripping apart the script, but it's just the dialogue. The story itself plays out nicely and has a nice resolution. I was looking for a fun action film and this film delivered that, despite its downfalls. I say check it out.","
            7/10
            "
"The Beekeeper","FeastMode","12 January 2024","I seem to use that headline a lot. I guess it's better than a bad movie with bad fight scenes.Starting with the good, Statham is awesome as usual. And I loved all of the fight scenes. They are ridiculously fast yet completely clear. It's hard hitting, you can feel the blows. This is enhanced by the beastly IMAX speakers. And with the R-rating, it doesn't hold back. Although it's far from gratuitous.The bad? Sigh. The non-action scenes, which make up the majority of the movie, range from average to terrible. The quality level feels like a streaming movie, not a theatrical one. I spent much of the runtime uninterested and unengaged.Everything feels off. The dialogue is weird. The acting is questionable. And there are a bunch of dumb things that strain believability. Like the entire bad guy organization. Or a laugh-out-loud idiotic character decision during the climax. A true ""are you kidding me?"" moment.Even the cut to credits felt odd. Like the director just cut in the middle of a shot and said, ""screw it, let's go home.""(1 viewing, early screening UltraScreen 1/6/2024)","
            3/10
            "
"The Beekeeper","Neptune165","2 February 2024","Just when you think we have reached the bottom of filmmaking ... there is always something like this flick just to prove you can do a lot worse! It s so bland. The FBI agent was not professional and dressed and sounded dumb, lost mom by suicidal act and that did not play much of a roll after the incident,, the villains sounded stupid, especially the dip shots from the call centers. The story idea was great, Jason was awesome but the rest of the actors failed to bring it home. This movie is a terrible revenge story. The idea that Beekeepers are the most elite, well-trained, best equipped one man army is so over-used. The most unbelievable part is that he is hunted by mercenaries, law enforcement, and other Beekeepers. The acting is terrible, the storyline is worse.","
            3/10
            "
"The Beekeeper","BA_Harrison","12 January 2024","After Fast X and The Meg 2, I swore I wouldn't waste any more of my time on Jason Statham movies, but the trailer for The Beekeeper looked good, so I thought I would give him one last chance. I just hoped that I wouldn't get stung again.Thankfully, this action flick from director David Ayer is as sweet as honey: it's unpretentious, over-the-top, gloriously violent nonsense that isn't to be taken seriously... the film is all about how many people the star can kill or maim during the 1hr 45minute runtime (the answer: a lot!).Statham plays Adam Clay, a beekeeper in more ways than one: he looks after bee hives on the farm owned by kindly Eloise Parker (Phylicia Rashad), but he's also a retired special operative known as a 'beekeeper', part of a government programme so secret even the FBI doesn't know about it. When Eloise loses all of her savings to scammers and commits suicide, Adam isn't a happy man and goes after those responsible, the trail leading all the way to the President of the United States (Jemma Redgrave).Buildings are blown up, limbs are broken, body parts are severed, people are shot, but Adam barely gets a scratch -- those looking for realism should look elsewhere. There's even a scene where a female beekeeper uses a mini-gun mounted on the back of a truck, and mini-guns always equal fun.At the end of the day, Adam makes the bad guys pay for their crimes, and promptly escapes, presumably to set up some more bee hives (the villains having shot up his earlier ones) and to prepare for the inevitable sequel.","
            7/10
            "
"The Beekeeper","imseeg","12 January 2024","I was excited to see a new action movie with Jason Statham (one of my favorite ACTION actors) and although his figting scenes are still okay (ish), they weren't exhilirating. But there is something worse...The bad: Jason Statham (although in a leading role) doesnt get much screen time. A lot of the time we ONLY get to see a bunch of bland FBI agents, who arent impressing me in any way with their subpar acting performances.Nor do these FBI agents come across as credible by the way, constantly missing Jason Statham when they have all the time and opportunity to kill him point blank. Quite silly.More bad: the other supporting actors are really bad though, But they (AS WELL) do get a lot of screentime. So annoying.Not any good? Actor Jeremy Irons nails it. He plays the role of a cunning sophisticated bad guy and he is terrific. But what the heck is the distinguished and superb actor Jeremy Irons doing in such a cheap looking action movie? HE is the only redeeming feature of this movie though, besides a few action scenes with Jason Statham.Jason Statham fans beware, this one is quite a dud. Tedious, lame, uneventful.","
            4/10
            "
"The Beekeeper","Xavier_Stone","10 January 2024","Written by Kurt Wimmer who is known for The Expendables which seems about right. Nearly all action which was ok, yet the story is just trash. If you're a fan of Jason then this one is just another average film with his stunts and fighting.Other than that the movie lacks any seriousness and the law enforcement roles are comical and everyone just comes out looking like keystone cops. It could have been so much better with a decent director and a lot of tweaks in the script.Sadly, not enough going on here to please anything but the Jason fans. 3 stars for action, zero for everything else. Even the ending is a zero. Park your brain before watching, no thinking required.","
            3/10
            "
"The Beekeeper","martinrobertson300482","28 January 2024","Not sure why i went to see this one as i've not seen most of Jason Stathams movies. And if they're anything like this one i won't be in a rush to revisit them.The movie looked dumb, and it is. Statham is a beekeeper. Both metaphorically and genuinely. Infact the worst part of the film isn't how repetitive and boring the action gets (where Statham is practically untouchable). But the cringey push to make ex-military beekeeper tough guys a thing. You'll definitely get some laughs from how ridiculous it all is. But half the time I couldn't really tell if they were intentional laughs or not.I guess there is enough decent action. Like the farm scene, the middle office attack, and there's a decent brutal fight scene near the end. But even the most promising part of the movie - setting up the great villian for a well deserved ass kicking later. Doesn't pay off. So overall, pretty poor.","
            3/10
            "
"The Beekeeper","banzoozalreviews","12 January 2024","David Ayer's ""The Beekeeper"" has Jason Statham going full John Wick and full Equalizer. This movie is 90 odd minutes of relentless, unhinged, pure escapist fun, with Statham doing what he does best - taking out bad guys like it's nothing and looking uber cool while doing it. He does that here in spades, in the most brutal and ridiculously entertaining ways. Yes, you need to throw believability aside, but if you are a fan of 80s and 90s action thrillers where it's one man against all, you will love this, just like I did. This movie really was a blast and a half, and then some. A great way to start 2024 movie season. I loved it. Pure escapist entertainment.","
            8/10
            "
"The Beekeeper","sbweightman","12 January 2024","A really enjoyable revenge action film full of fast paced action and corny bee-related dialogue. Although the character's backstory has been done many times before, the plot has some modern ideas and modern villains which are easy to hate and the strong moral message was quite refreshing. Good acting from a good cast of characters and whilst some of the henchmen are a bit silly, their larger than life presence adds some surprises into what is otherwise pretty standard fare. Good pacing, music and fight scenes keep it entertaining throughout, although the start is pretty slow and the ending rather abrupt.","
            8/10
            "
