"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"MiroslavKyuranov","31 May 2023","It's honestly absurd how good the ""Spider-Verse"" movies are. ""Across the Spider-Verse"" is just as great, if not better than ""Into the Spider-Verse"". I really don't know how. ""Spider-Man: Across the Spider-Verse"" is fantastic! Deftly juggles deeply heartfelt character beats with crazy multiverse content, just packed with so many delightful easter eggs. Loved how Gwen's story is expanded, her scenes with Shea Whigham's Captain Stacy are truly special.Can't wait for the third one. Every frame of this movie is gorgeous! I didn't want to blink because I didn't want to miss anything. You can watch this film over & over & finds something new to enjoy. There are some surprises in this film that I truly wasn't expecting.""Across the Spider-Verse"" is another milestone for animation. Yes it's gorgeous & visually mind-blowing, but this sequel surpasses the first for always putting Miles and his family front and center. The movie feels like a massive celebration for Spider-Man fans everywhere, whether you love the movies, games, comics, etc. But again, all the cameos and multiversal elements come second to both Miles and Gwen's story. Is a stunning achievement. Yes, it's visually dazzling, with expansive, expressive new realms The movie's real superpower is its emotional depth and its beautiful, melancholic tone.What more can I say...It's an actual work of art! Every frame deserves to be hung in a museum. The jokes and nods to Spidey lore are perfect. It's outstanding. ""Spider-Man: Across the Spider-Verse"" is yet another resounding win for the Lord Miller-produced universe. Hailee Steinfeld really comes into her own as Gwen Stacy. It's darker and sadder than I expected, but necessary.","
            10/10
            "
"UniqueParticle","2 June 2023","The animation, flow of everything, genius character development, and action were all electrifying! This is one of the best Spider-Man adaptions deserving of the high ratings entirely. I love all the portals connecting to other dimensions and Spot is such a fun villain. Shemeik Moore, Hailee Steinfield, Jake Johnson, and Oscar Issac among everyone else was superb so much talent this movie better be nominated for best animated feature like the previous one was years back deserving of its win! For a movie that's fairly long it stayed entertaining from start to finish and keeps you wanting more, I loved it all so much.Also since this review is doing well I have autism and would love any opportunity to be more known in the world! My real name is Alex Nolan and I crave movies a lot since I was quite young. I wish I could work on movies and spend time with famous people.","
            10/10
            "
"pugpool10","2 June 2023","If it wasn't already obvious in the first film, it's now officially clear as day that the people behind the Spider-Verse franchise (including writers/producers Phil Lord and Chris Miller, who are absolute creative godsends to the once magnificent place known as Hollywood) understand EXACTLY what they're working with.Don't let the marketing fool you: this film has GUTS. It's easily one of the heaviest PG-rated films I've ever seen. Payoffs and character revelations that were only hinted at in the first film are carefully, deliberately unraveled and come around beautifully. It made me think about my own life and what I mean to the people I care about in ways I never expected. The fan-service is BATTY too, and yet somehow it's never too much.I wish every movie was as good as this---but then again if the world was like that this wouldn't feel as special. So I'll just stick to being IMMENSELY grateful that it exists in this universe.This is no ordinary sequel. It's art of the highest form.","
            10/10
            "
"rickothan","2 June 2023","This film is a visual concert. The animation and character design neatly put me to tears. The opening of the film took an approach that shocked me, but it was fantastic to watch. Many of the jokes were in the trailers, but plenty caught me off guard in the cinema. Miguel even had a couple of funny moments. The presence of existing spider characters, such as snippets of the other films, did feel somewhat strange I have to admit. However, it is made up for in how incredible this film was. It was artistic, mature, adult, and profound. It leaves the viewer on a cliffhanger that shocked me. I thought I was an hour into the film, but it was the end. I implore everyone wondering if they should see this film to do so. Easily the best film I have seen in a long time and the best film to see in theaters. A true masterpiece.","
            10/10
            "
"hectorvernet","31 May 2023","First off, you should know that this is the first part of one big movie split into two, Harry Potter style. Except, everyone in the theater went nuts when it ended, I guess because it doesn't have ""Part One"" in the title. It doesn't really stand on its own, as far as the story goes. So it's kind of hard to rate it, since it set up way more than it concluded. Can't wait to see the next one.Anyway, even as just one half of a two-parter, this movie is awesome. If you thought you liked the style of ""Into the Spider-Verse"", then you got another thing coming. This movie is so much more than that, it's crazy, and it does not disappoint. Boggles the mind how this much stuff can even be animated at all.The visuals have got to be seen to be believed. Every scene has so much going on, and you could even say each scene has its own art style. It goes way beyond what the first movie did, and that was already crazy. The blending of styles on its own makes this a one of a kind movie, that will be hard to replicate. I'm even sort of mad that this creative energy hadn't been released before, because we are getting some insane stuff nowadays.One small complaint I do have is that all this, combined with the very fast action can make it a bit hard to breathe sometimes. Honestly I can't take too many points off for that though.The soudtrack is great, I can't wait for it to release. There truly are some bangers in there, and most of them are actually the score of the movie, not licensed music.And the story is awesome as well, although again it's hard to judge before seeing the next one. There's a lot more going on than in the first one, and most This movie explores the character of Gwen more and it's awesome. It's still about Miles though, and that part is also cool. I loved the Spot.So yeah I could say more, but I think you should just go see it. This might end up as one of the best trilogies of all time.","
            10/10
            "
"cricketbat","1 June 2023","Spider-Man: Into the Spider-Verse is probably my favorite Spider-Man movie. However, my feelings about Spider-Man: Across the Spider-Verse are currently glitching. On one hand, the action scenes are spectacular, and the animation is, once again, amazing. On the other hand, this movie is 2 hours and 20 minutes long and it feels like it. Plus, the visuals can be so kinetic that the film becomes busy & chaotic. This sequel offers some real drama, however it's not a complete story, and it ends on a cliffhanger. I think my rating will solidify when I watch Beyond the Spider-Verse and see how it all ends.","
            7/10
            "
"Sleepin_Dragon","11 June 2023","It's been some time since I've walked out from a cinema feeling as satisfied by a film as this!I enjoyed Into The Spider-verse, in my humble opinion, this went one better, my anticipation for the next installment has definitely gone up a few notches.The best element for me, the visuals, I'd argue this was a labour of love by the team behind it, it looks sublime, the action sequences are seamless, one to the next, jaw dropping.Pacing is terrific, visit the loo or go for a drink at your peril, you may just miss something.I think this is a film that fans of Spider Man, any fans, new or old will enjoy, its appeal is so broad.I'm not a die hard Spidey fan, so some of it went over my head, but I am reliably informed by my fellow cinema goers that there were plenty of Easter eggs to hunt, lots of references to all forms of Spider Man.Shameik Moore did a first rate job, as did Hailee Steinfeld as Gwen, her character development was a key element.I assume this will win many awards, it deserves to, that good I'm going again!!!Nailed it!! 10/10.","
            10/10
            "
"nickryan-44535","6 June 2023","Let me just say that the first hour of this film had me hooked and I just knew this film surpass it's predecessor in terms of the story & entertainment. Around the 2 hour mark I started wondering when or if there would be a climax? Various scenes felt like they were dragging on for way too long. We really didn't need all the scenes of Peter B. Parker and his child. For me personally I felt like there was no build up or anticipation due to how long certain scenes played out. Then the film ended on a cliffhanger and then I understood, this film is a middle movie, a gateway between the first film and the next film and unfortunately it showed. They didn't have a definitive ending for this film which is fine but at some point the scenes just felt like filler. I believe it is still a movie worth seeing, however, it falls short of the first movie in terms of keeping my attention.","
            7/10
            "
"JayWolfgramm","11 June 2023","I absolutely loved 2018's ""Into the Spider-Verse"". It not only earned its ""Best Animated Picture"" Oscar, not only was it the best Spider-Man movie, but it stands as a landmark in animation. It set the record for most animators working on a single film. That record was then broken by this sequel. With five years of anticipation, and with the talented hands of Lord and Miller behind the scenes I was super hyped for this movie. I was prepped to love this film. I had heard nothing but good things, and all its praise is well deserved. But I couldn't help but walk away just saying the film was...good.Given the film's stellar reception, I feel compelled to explain why I only am giving this film a respectable 7. First off, this film is not a complete story. It is a ""part 1"" and ends on a ""To Be Continued..."". I don't think that's a spoiler considering the original teaser advertised it as ""Across the Spider-Verse: Part 1"". But like the great cliff hangers of the past, like ""Two Towers"", ""Empire Strikes Back"" or ""Back to the Future part 2"", the movie needs to complete some self-contained conflict. This film does not complete a conflict. There is no feeling of resolution. I feel my full review is currently being held hostage from the fact that the story is incomplete. I can't give this full marks considering the story could end like the series ""Lost"" and completely undermined the whole journey.With that out of the way, I can tell you all the things that makes this movie great. The animation is a step up even from the previous groundbreaking entry. There are so many different animation styles that the team juggles, and it they all looked visually stunning. For some it may be over stimulation, but I thought it moved at just the right speed.The ""fan service"", ""Easter Eggs"" or whatever you want to call them, are never overused. There are some movies that treat the Easter Eggs like they are the main course, this movie balances them well. They never overstay their welcome and always add to the story as opposed to distract from it.The humor is spot on. There are so many jokes in this movie that had me laughing awkwardly loud. The jokes don't have the typical MCU problem of detracting from a serious moment, those are given the time to breath. But the jokes are fast paced, witty and come from a variety of sources. There are visual gags, character jokes, situational jokes and it isn't all reliant on a single person for their humor.And the action in this movie, it is next level stuff. Every fight scene or chase scene is like the bridge fight in ""Kung Fu Panda"". The movement is fluid, the detail is superb, and everything falls in just the right place. It is poetry in motion, since they are Spider-Men doing the action, all the acrobatics and reflexes work well within the story. It is a reminder of what makes this character so much fun to write for.There are 2 main conflicts that pop up in the story, both feeding into the same narrative theme. When the second comes into focus, that is where the movie loses some momentum. It is nice for story reasons in that our hero feels completely alone. The problem is it raises a lot of questions that might get answered in later movies, but for now are ignored. On the positive side, just when I think I have the film figured out, it throws one last hook at me, and absolutely has me hooked for the next one.Who knows, maybe one day when the trilogy is completed, I will come back and amend my review. But as it stands right now, I can't give it anything higher than what I gave it. Don't let me down third movie, with great power, comes great responsibility.","
            7/10
            "
"planktonrules","21 June 2023","""Spider-Man: Across the Spider-Verse"" currently has an astounding overall rating of 9.0. Like many other incredibly high ranked movies, I'm sure over time the score will drop but given it's so high now, I cannot imagine it leveling off below 8.0...meaning it's one of the best rated movies of all time. Well, while it might be a great crowd-pleaser, I am writing a dissenting review....and if you are like me, you might not be as bowled over as most reviewers.To put things in perspective, I am 59 years-old and certainly NOT in the target audience....so keep this in mind. While I like an occasional superhero film, I also don't adore them...but I did think the previous Spider-Man film, ""Spider-Man: Into the Spiderverse"" was one of the best of its genre. In fact, I gave it a 10...I was that impressed with its originality and story and animation. So why was I left colder by its sequel? Well, there are several reasons. First, if you are like me and not all that familiar with Spider-Man, you'll probably find much of the story confusing...unlike the previous film. Second, the artwork, while very original, made my brain hurt! It was LOUD and BRASH and really awful...at least to me. The worst part was that the backgrounds actually looked like I was watching a 3-D movie WITHOUT 3-D glasses! Uggh...it was an assault on my eyes. And, third, I hated how the film ended with no plot resolution whatsoever....none.So does all this mean I hated the film? No. I laughed quite a few times...and mostly when it introduced other alternate universe Spider-creatures (many are women or animals...not just Spider-MEN). I also thought the basic story, once you strip away the horribly fast edits and garish artwork, was very interesting. Overall, not a bad film but I just did not particularly enjoy it nor do I particularly need to see the third and final film in the series.","
            4/10
            "
